id,number,agent,html_url,user,state,body,submitted_at
2914277614,29902,Claude_Code,https://github.com/geneontology/go-ontology/pull/29902,sjm41,APPROVED,"Looks pretty good, thanks Claude (Chris)!

Though I don't see the names of the 'old' terms (citrate (Re)-synthase activity & citrate (Si)-synthase activity) given as synonyms on the merged term. 

Also, I believe our current practice is to remove EC xrefs from the obsolete terms, right @pgaudet ?

Do those aspects need to be done manually ?",2025-03-12T15:32:53Z
2914277614,29902,Claude_Code,https://github.com/geneontology/go-ontology/pull/29902,sjm41,APPROVED,Looks good now!,2025-03-12T16:18:35Z
2959025892,24145,Claude_Code,https://github.com/apache/pulsar/pull/24145,lhotari,CHANGES_REQUESTED,Please address the feedback,2025-03-31T03:38:31Z
3234200031,16803,Copilot,https://github.com/microsoft/vscode-jupyter/pull/16803,DonJayamanne,CHANGES_REQUESTED,"Read the following files and ONLY if you learn something new and ONLY if required change the code
* .github/copilot-instructions.md
* .github/instructions/*-instructions.md",2025-07-16T02:51:58Z
3234200031,16803,Copilot,https://github.com/microsoft/vscode-jupyter/pull/16803,DonJayamanne,CHANGES_REQUESTED,I want you to address my comments,2025-07-16T04:57:36Z
3190608451,16762,Copilot,https://github.com/microsoft/vscode-jupyter/pull/16762,DonJayamanne,CHANGES_REQUESTED,Action the comments I've made,2025-07-01T04:59:26Z
3167223032,36397,Copilot,https://github.com/microsoft/playwright/pull/36397,Skn0tt,COMMENTED,"Tests are failing with:


    TypeError: apiRequestContext.get: The ""options"" or ""port"" or ""path"" argument must be specified",2025-06-23T09:04:30Z
3167223032,36397,Copilot,https://github.com/microsoft/playwright/pull/36397,Skn0tt,COMMENTED,"tests are still failing with ""apiRequestContext.get: The ""options"" or ""port"" or ""path"" argument must be specified""",2025-06-23T10:57:46Z
3125682958,250894,Copilot,https://github.com/microsoft/vscode/pull/250894,demunion,COMMENTED,****,2025-06-08T16:12:14Z
3179789638,4264,Copilot,https://github.com/valkey-io/valkey-glide/pull/4264,avifenesh,COMMENTED,"The test is still failing, when you think you found a solution, run the failing workflow at least 3 times fully to validate @copilot ",2025-06-26T17:59:39Z
3079241115,95,Copilot,https://github.com/reneschulte/WriteableBitmapEx/pull/95,reneschulte,COMMENTED,"Looks good. @copilot have you tried compiling this, running one of the samples and see if the drawn visuals are correct? ",2025-05-21T14:59:53Z
3079628682,5623,Copilot,https://github.com/microsoft/testfx/pull/5623,Youssef1313,CHANGES_REQUESTED,"- Revert changes to global.json and Changelog.md.
- Add integration test for this case",2025-05-21T10:02:23Z
3168695693,658,Copilot,https://github.com/hyperlight-dev/hyperlight/pull/658,jsturtevant,COMMENTED,It would be nice to see a test case added to the wit file that has a function that has no returns,2025-06-23T18:22:48Z
3086437300,62085,Copilot,https://github.com/dotnet/aspnetcore/pull/62085,javiercn,CHANGES_REQUESTED,"Progress has been made.

Renderer needs to capture `Activity.Current` within its constructor and set it on ComponentActivitySource which needs it.",2025-05-23T17:09:26Z
3126448988,1093,Copilot,https://github.com/microsoft/typescript-go/pull/1093,RyanCavanaugh,CHANGES_REQUESTED,"Use a regular compiler baseline test

Reconsider your fix. Why does this only happen when there are two files involved? Why is the length of the target file important? Think about what this means.",2025-06-07T05:23:44Z
